name,specification,value,scope
ram-000005-000008,RAM,      5 à 8 GB     ,pc-desktop|pc-laptop
ram-000009-000016,RAM,      9 à 16 GB    ,pc-desktop|pc-laptop
ram-000017-000032,RAM,     17 à 32 GB    ,pc-desktop|pc-laptop
ram-000033-000064,RAM,     33 à 64 GB    ,pc-desktop|pc-laptop
ram-000065-000128,RAM,     65 à 128 GB   ,pc-desktop|pc-laptop
ram-000129-000256,RAM,    129 à 256 GB   ,pc-desktop|pc-laptop
ram-000257-000512,RAM,    257 à 512 GB   ,pc-desktop|pc-laptop
ram-000513-001024,RAM, 513 GB à 1 TB     ,pc-desktop|pc-laptop
ram-001023-002048,RAM,"1,1 TB à 2 TB"    ,pc-desktop|pc-laptop
,,,
disque-dur-000001-000256,Disque Dur,   256 GB ou moins,pc-desktop|pc-laptop
disque-dur-000257-000512,Disque Dur,   257 à 512 GB   ,pc-desktop|pc-laptop
disque-dur-000513-001024,Disque Dur,513 GB à 1 TB     ,pc-desktop|pc-laptop
disque-dur-001025-002048,Disque Dur, "1,01 à 2 TB"    ,pc-desktop|pc-laptop
disque-dur-002049-004096,Disque Dur, "2,01 à 4 TB"    ,pc-desktop|pc-laptop
disque-dur-004097-008192,Disque Dur, "4,01 à 8 TB"    ,pc-desktop|pc-laptop
disque-dur-008193-016384,Disque Dur, "8,01 à 16 TB"   ,pc-desktop|pc-laptop
disque-dur-016384-∞     ,Disque Dur, 16 TB ou plus    ,pc-desktop|pc-laptop
,,,
taille-ecran-001-099,Taille de l'Écran, "9,9 pouces ou moins",pc-desktop|pc-laptop
taille-ecran-100-139,Taille de l'Écran,"10 à 13,9 pouces    ",pc-desktop|pc-laptop
taille-ecran-140-169,Taille de l'Écran,"14 à 16,9 pouces    ",pc-desktop|pc-laptop
taille-ecran-170-199,Taille de l'Écran,"17 à 19,9 pouces    ",pc-desktop|pc-laptop
taille-ecran-200-∞  ,Taille de l'Écran, 20 pouces ou plus    ,pc-desktop|pc-laptop
,,,
imprimante
chargeur
routeur
RAM
processeur
carte graphique
logiciel
